Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2544,2456,88,5512,80,2967,8,0.965409,0.968566,0.53828,0.966985,,,1.25379803396,1.90836441129
INDEL,PASS,2544,2437,107,5148,66,2636,8,0.95794,0.973726,0.512044,0.965769,,,1.25379803396,1.74327233584
SNP,ALL,38273,37892,381,52309,399,14019,50,0.990045,0.98958,0.268004,0.989812,2.55591677503,2.41764629049,1.55697386888,1.63737261628
SNP,PASS,38273,37892,381,52305,399,14015,50,0.990045,0.98958,0.267948,0.989812,2.55591677503,2.4176082555,1.55697386888,1.6371708203
