Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2544,2457,87,5478,73,2939,7,0.965802,0.971249,0.53651,0.968518,,,1.25379803396,1.9
INDEL,PASS,2544,2353,191,5229,66,2801,7,0.924921,0.972817,0.535666,0.948265,,,1.25379803396,1.84653465347
SNP,ALL,38273,37892,381,52284,387,14006,50,0.990045,0.98989,0.267883,0.989967,2.55591677503,2.41824598092,1.55697386888,1.63611139138
SNP,PASS,38273,32119,6154,43613,355,11138,50,0.839208,0.989069,0.255383,0.907996,2.55591677503,2.37168688664,1.55697386888,1.35554474708
