Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2544,2346,198,4321,79,1889,60,0.92217,0.967516,0.437167,0.944299,,,1.25379803396,1.4124230554
INDEL,PASS,2544,2346,198,4321,79,1889,60,0.92217,0.967516,0.437167,0.944299,,,1.25379803396,1.4124230554
SNP,ALL,38273,37864,409,53007,479,14664,49,0.989314,0.987507,0.276643,0.98841,2.55591677503,2.34757906698,1.55697386888,1.64129025825
SNP,PASS,38273,37864,409,53007,479,14664,49,0.989314,0.987507,0.276643,0.98841,2.55591677503,2.34757906698,1.55697386888,1.64129025825
