Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2544,2459,85,4970,44,2457,7,0.966588,0.982491,0.494366,0.974475,,,1.25379803396,1.6165693043
INDEL,PASS,2544,2459,85,4970,44,2457,7,0.966588,0.982491,0.494366,0.974475,,,1.25379803396,1.6165693043
SNP,ALL,38273,37119,1154,49028,104,11806,45,0.969848,0.997206,0.240801,0.983337,2.55591677503,2.47151249204,1.55697386888,1.66505303236
SNP,PASS,38273,37119,1154,49028,104,11806,45,0.969848,0.997206,0.240801,0.983337,2.55591677503,2.47151249204,1.55697386888,1.66505303236
