Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2544,2465,79,4755,20,2261,6,0.968947,0.991981,0.475499,0.980328,,,1.25379803396,1.43011861784
INDEL,PASS,2544,2465,79,4755,20,2261,6,0.968947,0.991981,0.475499,0.980328,,,1.25379803396,1.43011861784
SNP,ALL,38273,37886,387,50395,127,12380,41,0.989888,0.996659,0.245659,0.993262,2.55591677503,2.45846196062,1.55697386888,1.51930579174
SNP,PASS,38273,37886,387,50395,127,12380,41,0.989888,0.996659,0.245659,0.993262,2.55591677503,2.45846196062,1.55697386888,1.51930579174
